Subject,Style,Trial,Jump Height (Impulse),sqrt JH,Jump Height (Flight),Bodyweight,GRF Impulse (Normalized),Net Impulse (Normalized),Concentric GRF Impulse (Normalized),Concentric Net Impulse (Normalized),GRF_Max (Normalized),Net F_Max (Normalized),GRF at Bottom (Normalized),Average Power (Normalized),Peak Power (Normalized),Depth,Contact Time,RSI (Impulse),RSI (Flight)
4,SS,3,0.443541415,0.66598905,0.4195101,83.02562945,9.850112073,5.819578923,5.263193642,2.958630892,45.9082337,36.1015837,25.10417583,0.035551466,0.061651334,0.273778825,0.411,1.079176192,1.020705838
4,SS,4,0.327300816,0.572102103,0.358777516,83.22079839,8.620363886,5.403782686,4.3639928,2.54976255,49.57618864,39.76953864,27.58769496,0.033090388,0.05712692,0.206661118,0.328,0.997868341,1.09383389
4,SS,5,0.376090807,0.613262429,0.365439909,83.37148602,9.381242585,5.586069035,4.871655279,2.723998929,44.56091857,34.75426857,25.88810759,0.033230642,0.057444669,0.248686174,0.387,0.97181087,0.94428917
4,ST,1,0.255670178,0.505638387,0.249335302,83.34683667,9.002675506,5.109435456,4.46001078,2.24370788,57.43925254,47.63260254,21.09894113,0.02491669,0.044196354,0.216062512,0.397,0.644005487,0.62804862
4,ST,2,0.253028573,0.503019456,0.285972946,83.31529322,8.422291369,5.097837019,4.043466715,2.229236465,72.77319404,62.96654404,23.08843822,0.027299824,0.049119311,0.203696573,0.339,0.746396969,0.843578013
4,ST,3,0.173235955,0.416216236,0.23516837,83.1786377,8.91065862,4.71341242,4.031208304,1.854132004,46.87369387,37.06704387,22.42102121,0.020193881,0.036111181,0.284623728,0.428,0.404756904,0.549458809
4,ST,4,0.263195379,0.51302571,0.302791351,82.99196865,7.721300572,5.142151622,3.71511533,2.28334443,59.78843593,49.98178593,35.2634122,0.032666233,0.053058775,0.174275851,0.263,1.000742884,1.151297913
4,ST,5,0.218695391,0.46764879,0.265055362,83.09971979,7.991059436,4.941191286,3.797908715,2.071938315,65.10840245,55.30175245,31.5045587,0.026181494,0.04608372,0.195335992,0.311,0.703200613,0.852268045
5,SF,1,0.208857795,0.457009622,0.226656198,61.45915326,9.973918407,4.894073707,4.622871044,2.033915444,34.32751491,24.52086491,22.71834098,0.020445642,0.038373326,0.378820776,0.518,0.403200377,0.437560228
5,SF,2,0.217995572,0.466899959,0.257135266,61.47565843,9.782360048,4.937874948,4.453068856,2.070052906,29.87767918,20.07102918,21.47565449,0.021585509,0.042545619,0.377329604,0.494,0.441286583,0.520516733
