Style,X,Y,Slope,Intercept,R,P,STD
SS,GRF_Max_(Normalized),Peak_Power_(Normalized),0.26521303949611713,40.54880575432029,0.24745730659140913,0.006432079174960512,0.09559430164457527
SS,GRF_at_Bottom_(Normalized),Peak_Power_(Normalized),0.7471656760233437,29.16649684920876,0.47429351024641536,4.4427237019627445e-08,0.127671033152273
SS,Depth,Peak_Power_(Normalized),-33.36982430080604,62.408763116091805,-0.38714587739708634,1.2529091457245556e-05,7.316070824677308
SS,Contact_Time,Peak_Power_(Normalized),-39.1147457428623,67.85165208188884,-0.47503632840399923,4.2042628135149297e-08,6.670197110188383
SS,GRF_Max_(Normalized),RSI_(Impulse),0.01190658858338802,0.27999544792413444,0.3860219805910268,1.3342713729652244e-05,0.00261936354976746
SS,GRF_at_Bottom_(Normalized),RSI_(Impulse),0.02896167290064757,-0.1022303575975626,0.6388121861719781,4.150282332243734e-15,0.003211002067599808
SS,Jump_Height_(Impulse),RSI_(Impulse),2.0409834454027784,0.0771857332260194,0.7348219067922477,1.2607393092645293e-21,0.17342537962738758
SS,Contact_Time,RSI_(Impulse),-1.4794568517735764,1.380686729091254,-0.6243209290941116,2.558689123953469e-14,0.17041107908483843
SS,Average_Power_(Normalized),RSI_(Impulse),0.04045540216322358,-0.4634194477851925,0.9745251378546035,1.857763815139691e-78,0.0008570965121323579
SS,Peak_Power_(Normalized),RSI_(Impulse),0.027144106824714787,-0.6499587722934639,0.9431805456365533,2.6769398882148283e-58,0.0008803286260167208
SS,Time_GRF_Ecc_Max,Time_GRF_Max,1.000177471006848,-7.2367896674502274e-06,0.9999991205792124,0.0,0.00012210957285617354
SS,Time_GRF_Con_Max,Time_GRF_Max,0.1430852307553454,0.0549310308775429,0.1017619337548151,0.2687473086012733,0.12876803341094764
ST,Depth,Jump_Height_(Impulse),0.32428062390837153,0.15684716814030705,0.22597833671178782,0.013073922378900754,0.12868595342386763
ST,Contact_Time,Jump_Height_(Impulse),0.3594250416017891,0.12799635576737386,0.34475610066383144,0.0001152612465761101,0.09009042229731103
ST,GRF_Max_(Normalized),Jump_Height_(Impulse),-0.0006465214983642936,0.2651621745915723,-0.09366781587610508,0.3088781556011583,0.0006326128228185374
ST,GRF_at_Bottom_(Normalized),Jump_Height_(Impulse),-0.0012085006271549401,0.27664043007209493,-0.15611699774071755,0.08861810351915693,0.0007038784977542886
ST,Average_Power_(Normalized),Jump_Height_(Impulse),0.008836455245157622,-0.03634615315084122,0.7828051804918581,4.5542281739066623e-26,0.0006466362724502339
ST,Peak_Power_(Normalized),Jump_Height_(Impulse),0.005714269922727171,-0.060667621008393346,0.7899225161515663,7.997427006885186e-27,0.0004083589922716933
ST,GRF_Max_(Normalized),Average_Power_(Normalized),0.10953421853569391,24.519203164336236,0.17913548671227056,0.05027026646384595,0.05537895775535645
ST,GRF_at_Bottom_(Normalized),Average_Power_(Normalized),0.31473673346279357,18.437362419444067,0.4589603149927521,1.3481397709216428e-07,0.05608769529620574
ST,Depth,Average_Power_(Normalized),-32.45665101185232,37.716030837590814,-0.2553135737720097,0.004887660921509042,11.314923675732134
ST,Contact_Time,Average_Power_(Normalized),-25.641981904146366,37.6373644027521,-0.27763844848648295,0.002139602790582986,8.167935025259775
ST,GRF_Max_(Normalized),Peak_Power_(Normalized),0.134607856215989,43.99992067255854,0.1410763089106434,0.12430917499954564,0.0869580817434163
ST,GRF_at_Bottom_(Normalized),Peak_Power_(Normalized),0.46102604944878317,33.7333453035797,0.430829104008952,9.018079952860635e-07,0.08889854497294572
ST,Depth,Peak_Power_(Normalized),-41.51463751253626,60.590917104616544,-0.20927787454882127,0.02179092251247613,17.857141074655647
ST,Contact_Time,Peak_Power_(Normalized),-31.888518333575096,60.22915344761884,-0.22126576668631034,0.015154827747828666,12.938348214739854
