Subject,Style,Trial,Jump_Height_(Impulse),Jump_Height_(Flight),Bodyweight,GRF_Impulse_(Normalized),Net_Impulse_(Normalized),Concentric_GRF_Impulse_(Normalized),Concentric_Net_Impulse_(Normalized),GRF_Max_(Normalized),Net_F_Max_(Normalized),GRF_at_Bottom_(Normalized),Average_Power_(Normalized),Peak_Power_(Normalized),Depth,Contact_Time,RSI_(Impulse),RSI_(Flight),Stiffness,Time_GRF_Max,Time_GRF_Ecc_Max,Time_GRF_Con_Max,GRF_Max_2_(Normalized),GRF_1st_high_(Normalized),GRF_1st_low_(Normalized),GRF_2nd_high_(Normalized),GRF_2nd_low_(Normalized),Max_GRF_diff_1st_(Normalized),Max_GRF_diff_2nd_(Normalized),GRF_1st_Higher_Side,GRF_2nd_Higher_Side,Impulse_high_(Normalized),Impulse_low_(Normalized)
13,ST,2,0.20518999995719564,0.26164632532500004,73.66086742312108,7.396532501719959,4.8762234517199605,3.2953365673210646,2.020472067321069,44.068446565443104,34.261796565443106,40.80755637499438,30.38038581265213,54.551053636179404,0.23073671532300727,0.257,0.7984046690941464,1.0180790868677043,190.99017901746538,0.07599999999999962,0.07599999999999962,0.13599999999999923,36.371008022626995,28.00727268319463,25.31914251412405,21.392634313526685,18.623592797515744,2.688130169070579,2.7690415160109403,B,B,460.53499984,440.45091499999944
13,ST,3,0.20518999995719564,0.26164632532500004,73.66086742312108,7.396532501719959,4.8762234517199605,3.2953365673210646,2.020472067321069,44.068446565443104,34.261796565443106,40.80755637499438,30.38038581265213,54.551053636179404,0.23073671532300727,0.257,0.7984046690941464,1.0180790868677043,190.99017901746538,0.07599999999999962,0.07599999999999962,0.13599999999999923,36.371008022626995,28.00727268319463,25.31914251412405,21.392634313526685,18.623592797515744,2.688130169070579,2.7690415160109403,B,B,460.53499984,440.45091499999944
13,ST,4,0.3186542432979256,0.349553135925,73.57231133738271,8.125760413567932,5.37009176356794,3.9805534130500497,2.5095559130500567,52.335449709374004,42.528799709374006,37.91426352243281,36.9983475493286,57.02333417419698,0.220554855020438,0.281,1.1340008658289165,1.2439613378113876,237.2899463243476,0.03899999999999881,0.03899999999999881,0.13099999999999845,54.6713828461202,26.99154021264224,25.742021224738842,31.503427823156027,26.251587926103994,1.2495189879033965,5.251839897052033,A,A,1032.019355000001,856.1407050000026
13,ST,5,0.28746930456606956,0.32134430719999996,73.84243788873822,7.961055550275327,5.244613500275321,3.792413455010127,2.380255855010122,61.849258103875975,52.04260810387598,37.6786043303742,35.245621060691505,56.90869506099559,0.223280573033724,0.277,1.0377953233432113,1.1600877516245485,277.0024156760577,0.03799999999999937,0.03799999999999937,0.133,65.15467443327407,31.756670920498365,30.425458100194238,33.81592037579284,31.376130938295457,1.3312128203041276,2.439789437497385,B,A,682.4745150000001,1222.1790016070022
14,SF,1,0.2973901707001101,0.36410252703125,116.53910417727425,10.42392369991198,5.285239099911973,5.084314824478844,2.4267126744788405,31.750630195092548,21.94398019509255,24.470498723432872,24.988646448221026,46.91121846855799,0.41628707866343295,0.524,0.5675384937025002,0.6948521508229962,76.27099620058794,0.05299999999999905,0.05299999999999905,0.25299999999999834,63.55360333586898,16.62206015461846,15.158002221407816,31.895903321392254,31.657700014476728,1.4640579332106434,0.23820330691552627,B,B,2140.9052050000005,1564.0398450000025
14,SF,2,0.27169253619135086,0.3681220277000001,116.51469874339288,10.34664066423946,5.17853611423947,5.038410787062078,2.321968737062087,28.986128243253212,19.17947824325321,25.469147086202096,24.48581811761025,45.925025800629854,0.4229195091325959,0.527,0.5155456094712539,0.6985237717267553,68.53816770643544,0.057000000000000384,0.057000000000000384,0.25,29.968493569125805,18.940700390603237,14.795815623200568,18.44145007603038,12.95106983302885,4.144884767402669,5.490380243001532,A,B,925.6721400000004,1316.4111600650006
14,SF,3,0.2865734862782057,0.34303784283125,116.92591878590488,10.1344292377957,5.240910887795699,5.02795989207886,2.3801643920788607,45.10719312505237,35.30054312505237,23.01055256128837,24.198797405765546,47.16089704605542,0.33457386135458417,0.499,0.574295563683779,0.6874505868361723,134.81983602194012,0.04699999999999971,0.04699999999999971,0.22900000000000098,54.225787283395015,25.555497284321596,23.486238367972877,30.588513112724403,23.63727417067062,2.069258916348719,6.951238942053784,A,B,1298.5144749999997,1421.2521349999956
14,SF,4,0.29551244112942415,0.328919944325,116.85943396637103,10.416287061173767,5.27760246117376,5.3276153141317035,2.415040264131699,38.74235777406611,28.93570777406611,23.36003099917097,23.85759279544131,47.790157921155625,0.3411099991723695,0.524,0.5639550403233285,0.6277098174141221,113.57731484877651,0.03900000000000059,0.03900000000000059,0.2270000000000012,47.51366502081326,20.18091240009483,19.055885557693443,24.605287758174924,24.187606460710775,1.125026842401386,0.4176812974641493,A,B,1281.8135050000035,1908.6863949999995
14,SF,5,0.2749204134488422,0.33146477,116.90182502608195,10.536832592007674,5.192208342007687,5.286936537236309,2.335134887236321,36.88864565662574,27.08199565662574,24.71466976118972,23.6650520049021,45.40202095457287,0.39681796945073466,0.545,0.5044411255942058,0.6081922385321101,92.9611270066375,0.0420000000000007,0.0420000000000007,0.24399999999999977,66.30777576201709,20.46965476771737,19.352649109586146,36.32056213880911,31.29626076567866,1.117005658131223,5.024301373130449,A,A,1378.0077800000029,1158.8764850000005
14,SS,1,0.31558859616638274,0.34693966370000007,116.4272877210432,9.820062825300658,5.358037075300656,4.934081745306956,2.492225895306955,39.252224194637904,29.44557419463791,25.160768212850304,27.425124715210497,50.86654132517957,0.3121746231170151,0.455,0.6936013102557862,0.7625047553846155,125.73803662421547,0.041999999999999815,0.041999999999999815,0.20599999999999952,60.37046930819821,21.549930854796685,18.89557030024652,32.25231879486022,29.693296714797196,2.6543605545501663,2.559022080063027,A,B,1889.4335949999934,1143.539665000003
14,SS,2,0.3177658735440906,0.33786973828125,116.14056791383662,9.965923370193071,5.366604520193075,4.994396190918699,2.5035070909187005,45.028366004545425,35.22171600454543,24.18732791184612,26.496033183009715,51.78640891699111,0.325635092273313,0.469,0.6775391760001932,0.7204045592350746,138.2786040969813,0.041999999999999815,0.041999999999999815,0.21499999999999986,51.89280634886562,22.930144460596566,22.808653751075774,29.972042177221763,27.646498184700764,0.121490709520792,2.3255439925209984,A,A,1881.8316449999966,1481.3831809820006
