,,GRF_1h_(Normalized),GRF_1h_(Normalized),GRF_1l_(Normalized),GRF_1l_(Normalized),GRF_2h_(Normalized),GRF_2h_(Normalized),GRF_2l_(Normalized),GRF_2l_(Normalized),GRF_(Normalized),GRF_(Normalized),GRF_diff_(Normalized),GRF_diff_(Normalized),Impulse_1h_(Normalized),Impulse_1h_(Normalized),Impulse_1l_(Normalized),Impulse_1l_(Normalized),Velocity,Velocity
,,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI
Style,Time,,,,,,,,,,,,,,,,,,
SF,35.0,746.8700769230769,62.74061324890249,734.7312307692307,69.57238859100293,10.714158138754241,0.6878385740147781,8.118339897988468,0.6178272641633511,18.83249803674271,1.2114494159624805,3.199332169599859,0.4114202349309297,432.55109522270845,12.812766019974646,396.349426942941,12.246849032467134,-2.6485371185677753,0.04514470170861642
SF,36.0,772.6797692307692,66.79071867292568,761.9326153846155,74.15865106281818,11.111119899597117,0.7272389633503784,8.348654882046946,0.6437338338129527,19.459774781644064,1.269462283235327,3.3808152537159786,0.44265900260294033,433.3108701457854,12.84738609399661,397.0977588660179,12.290457477551302,-2.639197632158582,0.04534019329008436
SF,37.0,798.5182307692307,70.20933868114948,788.6856153846154,79.01239640303776,11.50932366915014,0.7687272432887412,8.57951507800491,0.6753084426266803,20.08883874715505,1.3329418288962815,3.6055711371225687,0.4746781986310434,434.09646914578536,12.884617864529941,397.87306798140247,12.338207023043493,-2.6292299753941824,0.04555306232646336
SF,38.0,825.0175384615385,73.5006541808958,813.291923076923,82.97376817007006,11.888856132930371,0.8025750914366546,8.819194076492067,0.7075674552421313,20.70805020942244,1.3965810700623955,3.765247932720128,0.4900745660664664,434.9082370304007,12.924301496580986,398.67405675063327,12.389604981269155,-2.618638180915894,0.04579090563585279
SF,39.0,854.1337692307692,76.2519843278067,836.1228461538461,86.20376461662838,12.245795073176229,0.82591965972184,9.099232430446753,0.7358211575474541,21.34502750362298,1.4495924112197505,3.837079678740592,0.49545168130447653,435.74781268424687,12.966548116504091,399.4987641352487,12.44398341031726,-2.607418292059371,0.046059977218274796
SF,40.0,885.2448461538462,79.75599733968582,861.1016153846155,89.18489915444708,12.617870633465834,0.8517748970134639,9.411414687094911,0.7660984429110218,22.029285320560746,1.5101269737062153,3.8866326583178847,0.49392623424557486,436.6175019919392,13.011531430664139,400.3473763660179,12.501010958557886,-2.5955377856472794,0.046366777399606283
SF,41.0,913.9853846153846,83.02820773259178,888.9474615384615,92.62686980341319,13.01453380926372,0.8838662385077642,9.709268535195056,0.7948361509202609,22.723802344458775,1.5731135709809132,3.9989534112331335,0.4958136013729398,437.5171171073238,13.059065715296885,401.2224009044794,12.560670478828738,-2.5829678918147696,0.046717889268254445
SF,42.0,942.4744615384616,86.288090165991,900.5782307692308,88.6895585038673,13.420985659244712,0.9164184277667341,9.871269569141838,0.7733301725064909,23.29225522838655,1.5771827517570622,4.237606064432272,0.5260548213022308,438.44534703040074,13.10858042824576,402.11716375063327,12.619922914469186,-2.569766513028347,0.04711433134945036
SF,43.0,970.6661538461539,89.00439756316052,921.9345384615385,89.63003921156395,13.82668583434938,0.9444275683656426,10.114135658862466,0.7912978695450287,23.940821493211846,1.6153799630772225,4.428636707514065,0.552639248302513,439.401917338093,13.159737030442571,403.02842013524867,12.67747744051674,-2.5559566246675476,0.04755134331261949
SF,44.0,993.495,91.13657592152843,943.9015384615384,90.16196853540579,14.191603456928757,0.9707439047133762,10.344297064078326,0.8055698818707824,24.535900521007083,1.6502005919775629,4.564922739152089,0.5777326324337383,440.38399791501615,13.212082572428903,403.9613381737102,12.734940399437647,-2.5415249136604383,0.04803176051866179
